alpha,type,n_steps,wordpair,Clue1,clue_score
RSA,intersection,8,happy-sad,feeling,0.0108171482
RSA,intersection,16,happy-sad,feeling,0.0095643386
RSA,intersection,32,happy-sad,feeling,0.0092278981
RSA,intersection,64,happy-sad,feeling,0.0084612854
RSA,intersection,128,happy-sad,feeling,0.0080760393
RSA,intersection,256,happy-sad,feeling,0.0077224176
RSA,intersection,512,happy-sad,feeling,0.007588743
RSA,intersection,1024,happy-sad,feeling,0.0075644558
RSA,intersection,2048,happy-sad,feeling,0.0075492219
RSA,intersection,4096,happy-sad,feeling,0.0075353292
RSA,union,4,happy-sad,marriage,3.18485e-05
RSA,union,8,happy-sad,marriage,2.90751e-05
RSA,union,16,happy-sad,marriage,2.77052e-05
RSA,union,32,happy-sad,marriage,2.6757e-05
RSA,union,64,happy-sad,marriage,2.6112e-05
RSA,union,128,happy-sad,marriage,2.5708e-05
RSA,union,256,happy-sad,marriage,2.52771e-05
RSA,union,512,happy-sad,marriage,2.5178e-05
RSA,union,1024,happy-sad,marriage,2.51325e-05
RSA,union,2048,happy-sad,marriage,2.51275e-05
RSA,union,4096,happy-sad,marriage,2.51253e-05
RSA,intersection,4,happy-sad,marriage,7.54665e-05
RSA,intersection,8,happy-sad,marriage,3.60725e-05
RSA,intersection,16,happy-sad,marriage,3.18947e-05
RSA,intersection,32,happy-sad,marriage,3.07727e-05
RSA,intersection,64,happy-sad,marriage,2.82163e-05
RSA,intersection,128,happy-sad,marriage,2.69316e-05
RSA,intersection,256,happy-sad,marriage,2.57523e-05
RSA,intersection,512,happy-sad,marriage,2.53066e-05
RSA,intersection,1024,happy-sad,marriage,2.52256e-05
RSA,intersection,2048,happy-sad,marriage,2.51748e-05
RSA,intersection,4096,happy-sad,marriage,2.51285e-05
RSA,union,4,happy-sad,mood,0.2398195661
RSA,union,8,happy-sad,mood,0.2189355138
RSA,union,16,happy-sad,mood,0.208619971
RSA,union,32,happy-sad,mood,0.2014801992
RSA,union,64,happy-sad,mood,0.1966231291
RSA,union,128,happy-sad,mood,0.1935815922
RSA,union,256,happy-sad,mood,0.1903369148
RSA,union,512,happy-sad,mood,0.1895903106
RSA,union,1024,happy-sad,mood,0.1892479236
RSA,union,2048,happy-sad,mood,0.1892101456
RSA,union,4096,happy-sad,mood,0.1891932783
RSA,intersection,8,happy-sad,mood,0.2716260282
RSA,intersection,16,happy-sad,mood,0.2401671185
RSA,intersection,32,happy-sad,mood,0.2317188661
RSA,intersection,64,happy-sad,mood,0.2124686928
RSA,intersection,128,happy-sad,mood,0.2027949004
RSA,intersection,256,happy-sad,mood,0.1939152152
RSA,intersection,512,happy-sad,mood,0.1905585537
RSA,intersection,1024,happy-sad,mood,0.1899486856
RSA,intersection,2048,happy-sad,mood,0.1895661513
RSA,intersection,4096,happy-sad,mood,0.1892172966
RSA,union,128,happy-sad,oppose,3.9811e-06
RSA,union,256,happy-sad,oppose,3.9143e-06
RSA,union,512,happy-sad,oppose,3.899e-06
RSA,union,1024,happy-sad,oppose,3.8919e-06
RSA,union,2048,happy-sad,oppose,3.8912e-06
RSA,union,4096,happy-sad,oppose,3.8908e-06
RSA,intersection,128,happy-sad,oppose,4.1705e-06
RSA,intersection,256,happy-sad,oppose,3.9879e-06
RSA,intersection,512,happy-sad,oppose,3.9189e-06
RSA,intersection,1024,happy-sad,oppose,3.9063e-06
RSA,intersection,2048,happy-sad,oppose,3.8985e-06
RSA,intersection,4096,happy-sad,oppose,3.8913e-06
RSA,union,8,candle-wick,blank,2.101e-07
RSA,union,16,candle-wick,blank,2.099e-07
RSA,union,32,candle-wick,blank,2.097e-07
RSA,union,64,candle-wick,blank,2.068e-07
RSA,union,128,candle-wick,blank,2.06e-07
RSA,union,256,candle-wick,blank,2.055e-07
RSA,union,512,candle-wick,blank,2.015e-07
RSA,union,1024,candle-wick,blank,2.008e-07
RSA,union,2048,candle-wick,blank,2.008e-07
RSA,union,4096,candle-wick,blank,2.008e-07
RSA,intersection,8,candle-wick,blank,2.116e-07
RSA,intersection,16,candle-wick,blank,2.113e-07
RSA,intersection,32,candle-wick,blank,2.111e-07
RSA,intersection,64,candle-wick,blank,2.088e-07
RSA,intersection,128,candle-wick,blank,2.074e-07
RSA,intersection,256,candle-wick,blank,2.064e-07
RSA,intersection,512,candle-wick,blank,2.028e-07
RSA,intersection,1024,candle-wick,blank,2.017e-07
RSA,intersection,2048,candle-wick,blank,2.008e-07
RSA,intersection,4096,candle-wick,blank,2.008e-07
RSA,union,4,candle-wick,board,5.248e-07
RSA,union,8,candle-wick,board,5.228e-07
RSA,union,16,candle-wick,board,5.223e-07
RSA,union,32,candle-wick,board,5.217e-07
RSA,union,64,candle-wick,board,5.145e-07
RSA,union,128,candle-wick,board,5.125e-07
RSA,union,256,candle-wick,board,5.113e-07
RSA,union,512,candle-wick,board,5.012e-07
RSA,union,1024,candle-wick,board,4.997e-07
RSA,union,2048,candle-wick,board,4.997e-07
RSA,union,4096,candle-wick,board,4.997e-07
RSA,intersection,8,candle-wick,board,5.264e-07
RSA,intersection,16,candle-wick,board,5.258e-07
RSA,intersection,32,candle-wick,board,5.252e-07
RSA,intersection,64,candle-wick,board,5.196e-07
RSA,intersection,128,candle-wick,board,5.161e-07
RSA,intersection,256,candle-wick,board,5.135e-07
RSA,intersection,512,candle-wick,board,5.046e-07
RSA,intersection,1024,candle-wick,board,5.019e-07
RSA,intersection,2048,candle-wick,board,4.997e-07
RSA,intersection,4096,candle-wick,board,4.997e-07
RSA,union,2,candle-wick,burn,0.0014923787
RSA,union,4,candle-wick,burn,0.000697199
RSA,union,8,candle-wick,burn,0.0006945783
RSA,union,16,candle-wick,burn,0.0006939114
RSA,union,32,candle-wick,burn,0.0006931139
RSA,union,64,candle-wick,burn,0.000683554
RSA,union,128,candle-wick,burn,0.0006808697
RSA,union,256,candle-wick,burn,0.0006792125
RSA,union,512,candle-wick,burn,0.0006659246
RSA,union,1024,candle-wick,burn,0.0006638848
RSA,union,2048,candle-wick,burn,0.0006638754
RSA,union,4096,candle-wick,burn,0.0006638544
RSA,intersection,2,candle-wick,burn,0.0061990964
RSA,intersection,4,candle-wick,burn,0.0006998547
RSA,intersection,8,candle-wick,burn,0.0006993256
RSA,intersection,16,candle-wick,burn,0.000698569
RSA,intersection,32,candle-wick,burn,0.0006977386
RSA,intersection,64,candle-wick,burn,0.0006903267
RSA,intersection,128,candle-wick,burn,0.0006856458
RSA,intersection,256,candle-wick,burn,0.0006822104
RSA,intersection,512,candle-wick,burn,0.0006703427
RSA,intersection,1024,candle-wick,burn,0.0006667963
RSA,intersection,2048,candle-wick,burn,0.0006638847
RSA,intersection,4096,candle-wick,burn,0.0006638767
